S1 : 0 -> 96 : FROM START TO END
S121 : 43 -> 79 : FROM S91 TO S29
S122 : 80 -> 84 : FROM S44 TO S59
S123 : 73 -> 77 : FROM S62 TO S121
S124 : 67 -> 87 : FROM S83 TO S9
S125 : 9 -> 56 : FROM S1 TO S120
S126 : 46 -> 85 : FROM S11 TO S116
S127 : 67 -> 76 : FROM S32 TO S53
S128 : 93 -> 95 : FROM S41 TO S1
S129 : 66 -> 95 : FROM S39 TO S1
S130 : 21 -> 39 : FROM S1 TO S25
S131 : 88 -> 92 : FROM S31 TO S129
S132 : 64 -> 84 : FROM S14 TO S78
S133 : 62 -> 80 : FROM S104 TO S40
S134 : 58 -> 86 : FROM S46 TO S109
S135 : 23 -> 94 : FROM S1 TO S68
S136 : 31 -> 38 : FROM S35 TO S5
S137 : 90 -> 95 : FROM S131 TO S1
S138 : 80 -> 91 : FROM S16 TO S41
S139 : 93 -> 95 : FROM S137 TO S1
S140 : 4 -> 59 : FROM S1 TO S11
S141 : 36 -> 58 : FROM S12 TO S65
S142 : 77 -> 94 : FROM S31 TO S16
S143 : 31 -> 45 : FROM S5 TO S72
S144 : 86 -> 88 : FROM S64 TO S119
S145 : 31 -> 57 : FROM S1 TO S98
S146 : 93 -> 95 : FROM S54 TO S1
S147 : 21 -> 24 : FROM S40 TO S125
S148 : 44 -> 73 : FROM S30 TO S107
S149 : 85 -> 94 : FROM S134 TO S139
S150 : 26 -> 77 : FROM S1 TO S2

Possible Moves : 1, 2, 3, 6, 8
